field,description,source,source website,secondary source,secondary source website
Surface__4,18. Surface_Area (square kilometers)—The number of acres covered by the surface of the reservoir at its normal retention level multiplied by 0.00404686 (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Drainage_A,19. Drainage_Area (square miles)—The area of land where all the water which drains from it or beneath it collects in the same place (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Drainage_1,20. Drainage_Area (square kilometers)—The area of land where all the water which drains from it or beneath it collects in the same place (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Drainage_2,21. Drainage_Area (acres)—The area of land where all the water which drains from it or beneath it collects in the same place (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Drainage_3,22. Drainage_Area (square feet)—The area of land where all the water which drains from it or beneath it collects in the same place (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Reservoir1,23. Reservoir_Perimeter (feet)—Length of the reservoir shoreline calculated in ArcGIS from National Hydrography Dataset digitized from USGS Topographic Maps (4).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Reservoi_1,24. Reservoir_Perimeter (kilometer)—Length of the reservoir shoreline calculated in ArcGIS from National Hydrography Dataset digitized from USGS Topographic Maps (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Reservoi_2,25. Reservoir_Perimeter (miles)—Length of the reservoir shoreline calculated in ArcGIS from National Hydrography Dataset digitized from USGS Topographic Maps (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Shoreline_,26. Shoreline_Development_Index—Unitless number calculated by dividing the shoreline distance by the perimeter of a circle of the same area as the lake. (DL) = SL / 2*√ (π*A0) where SL is the reservoir perimeter and A0 is the area of the lake (2).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Mean_Depth,28. Mean_Depth (Zmean)—Volume divided by the surface area. Zmean = V/A0 where V is the volume of the reservoir at normal storage and A0 is the area of the reservoir (2).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Index_of_B,30. Index_of_Basin_Permanence (IBP)—A morphometric index that is a reflection of the littoral effect on basin volume. IBP = V/SL where V is the volume of the reservoir at normal storage and SL is the length of the reservoir perimeter (11).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Developmen,32. Development_of_Volume (Dv)—A measure of the departure of the shape of the lake basin from that of a cone. (Dv)= 3*Zmean/Zmax where Zmean is the mean depth of the reservoir and Zmax is the maximum depth of the reservoir as hydraulic height (2).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Maximum_De,34. Maximum_Depth (Zmax)—In feet as hydraulic height (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Mean_Dep_1,"36. Mean_Depth_Maximum_Depth_Ratio (Depth Ratio)—As depth ratio decreases, potential nutrient recycling from the sediment surface, productivity, and sediment accretion rate increases (6).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Mean_Q,38. Mean_Q (cubic feet/second)—Average amount of water passing a given point per unit of time (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Catchment_,40. Catchment_Area_Surface_Area_Ratio—Calculated as drainage area divided by surface area of the reservoir (10).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Relative_D,42. Relative_Depth (Zr)—The maximum depth as a percentage of mean diameter. Zr = 50 * Zmax * √ (π)*(√(A0) (3).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Surface__5,44. Surface_Area_Lake_Volume_Ratio—Calculated as surface area divided by the reservoir volume at normal storage (9).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Lake_Volum,46. Lake_Volume (cubic feet) (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Lake_Vol_1,48. Lake_Volume (cubic meters) (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Lake_Vol_2,50. Lake_Volume (106 cubic meters) (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
AreaSqKm_1,52. AreaSqKm—Area of an areal feature based on Albers Equal Area conic (4).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Elevatio_1,54. Elevation (meters)—Vertical distance from a given datum (4).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
GNIS_Nam_1,56. GNIS_Name—U.S. Board on Geographic Names Identification System feature name by which a particular geographic feature is known (4).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ReachCod_1,"58. ReachCode—Unique identifier for a 'reach'. The first eight numbers are the WBD_HUC8. The next six numbers are randomly assigned, sequential numbers that are unique within a HUC 14-character value (4).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
E2RF11,60. E2RF1 —A secondary unique reach identification number that reflects revisions in process steps (5).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC_1,62. HUC—Hydrologic Cataloging unit of the reach (5).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
MEANV_1,64. MEANV(feet per second)—Velocity corresponding to mean streamflow for reach (5).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STRAHLER_1,66. STRAHLER—Strahler stream order of the reach (5).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RR_1,"68. RR—""River Reach"" identifier. An 11-digit identification number consisting of an 8-digit hydrologic unit code and 3-digit reach segment number (5).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
REACH,70. REACH—Unique five-digit ERF1_2 reach identifying code (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
NUTCODE,"72. NUTCODE—The U.S. Environmental Protection Agency ""nutrient criteria"" region codes for 14 regions for the conterminous United States (7).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PSEWER,74. PSEWER—The percentage of the total population on public sewage systems from the 1990 U.S. Bureau of Census estimated for the total drainage area above the reach as defined by DEMTAREA (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PSEPTIC,76. PSEPTIC—The percentage of the total population on septic systems from the 1990 U.S. Bureau of Census estimated for the total drainage area above the reach as defined by DEMTAREA (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
POTHER,78. POTHER—The percentage of the total population on disposal systems other that public sewage or septic from the 1990 U. S Bureau of Census estimated for the total drainage area above the reach as defined by DEMTAREA (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
WATER,"80. WATER—Percentage of total drainage area in water (1992 NLCD open water and perennial ice/snow land-use classes 11, 12) (7).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
WETLANDS,"82. WETLANDS—Percentage of total drainage area in wetlands (1992 NLCD woody and emergent herbaceous land-use classes 91, 92) (7).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
URBGRASS,84. URBGRASS—Percentage of total drainage area in urban and recreational grasses (1992 NLCD land-use class 85) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LURBAN,86. LURBAN—Percentage of total drainage area in low-intensity residential land (1992 NLCD land-use class 21) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HURBAN,88. HURBAN—Percentage of total drainage area in high-intensity residential land (1992 land-use class 22) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
COMM,90. COMM—Percentage of total drainage area in commercial/industrial/transportation land (1992 NLCD land-use class 23) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
FORESTD,92. FORESTD—Percentage of total drainage area in deciduous forested land (1992 NLCD land-use class 41) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
FORESTE,94. FORESTE—Percentage of total drainage area in evergreen forested land (1992 NLCD land-use class 43) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
FORESTM,96. FORESTM—Percentage of total drainage area in mixed forested land (1992 NLCD land-use class 43) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SHRUB,98. SHRUB—Percentage of total drainage area in shrub land (1992 NLCD land-use class 51) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
GRASS,100. GRASS—Percentage of total drainage area in grass and herbaceous lands (1992 NLCD land-use class 71) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PASTURE,102. PASTURE—Percentage of total drainage area in pasture/hay land (1992 NLCD land-use class 81) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
CROPS,"104. CROPS—Percentage of total drainage area in cultivated land, including row crops, small grains, and fallow land (1992 NLCD land-use classes 82, 83, 84) (7).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ORCHARDS,"106. ORCHARDS—Percentage of total drainage area in orchards, vineyards, other",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
BARREN,108. 1992 NLCD land-use class 61) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNLOADB,"110. BARREN—Percentage of total drainage area in quarries and barren, transitional lands (1992 NLCD land-use classes 31, 32, 33) (7).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPLOADB,112. TNLOADB—Natural background mean-annual total nitrogen load from the reach (kg/yr) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNYLDB,114. TPLOADB—Natural background mean-annual total phosphorus load from the reach (kg/yr) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPYLDB,116. TNYLDB—Natural background mean-annual total nitrogen yield for the total drainage area (kg/km2/yr) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNCONCB,120. TNCONCB—Flow-weighted natural background mean-annual total nitrogen concentration at the reach outlet (mg/L) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPCONCB,122. TPCONCB—Flow-weighted natural background mean-annual total phosphorus concentration at the reach outlet (mg/L) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNLOADBW,124. TNLOADBW—Natural background mean-annual total nitrogen load from the reach (kg/yr): includes atmospheric deposition (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNYLDBW,126. TNYLDBW—Natural background mean-annual total nitrogen yield for the total drainage area (kg/km2/yr): includes atmospheric deposition (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNCONCBW,128. TNCONCBW—Natural background mean-annual total nitrogen concentration at the reach outlet (mg/L): includes atmospheric deposition (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNLOAD,130. TNLOAD—Total nitrogen load (kg/yr) at the reach outlet for long-term mean-annual conditions (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPLOAD,132. TPLOAD—Total phosphorus load (kg/yr) at the reach outlet for long-term mean—annual conditions (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNYLD,134. TNYLD—Total nitrogen yield (kg/km2/yr) for the total drainage area for long-term mean—annual conditions (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPYLD,136. TPYLD—Total phosphorus yield (kg/km2/yr) for the total drainage area for long-term mean-annual conditions (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNCONC,138. TNCONC—Flow-weighted total nitrogen concentration (mg/L) at the reach outlet for long-term mean-annual conditions (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPCONC,140. TPCONC—Flow-weighted total phosphorus concentration (mg/L) at the reach outlet for long-term mean-annual conditions (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNPOINT,142. TNPOINT—Municipal and industrial wastewater contributions to the mean-annual total nitrogen load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPPOINT,144. TPPOINT—Municipal and industrial wastewater contributions to the mean-annual total phosphorus load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNFERT,146. TNFERT—Fertilizer contributions to the mean-annual total nitrogen load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPFERT,148. TPFERT—Fertilizer contributions to the mean-annual total phosphorus load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNATMOS,150. TNATMOS—Atmospheric deposition contributions to the mean-annual total nitrogen load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNFOREST,152. TNFOREST—Forested land nonpoint contributions to the mean-annual total nitrogen load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPFOREST,154. TPFOREST—Forested land nonpoint contributions to the mean-annual total phosphorus load at the reach outlet (percentage of the mean-annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNBARREN,156. TNBARREN—Barren land nonpoint contributions to the mean—annual total nitrogen load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPBARREN,158. TPBARREN—Barren land nonpoint contributions to the mean—annual total phosphorus load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNSHRUB,160. TNSHRUB—Shrub land nonpoint contributions to the mean—annual total nitrogen load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPSHRUB,162. TPSHRUB—Shrub land nonpoint contributions to the mean—annual total phosphorus load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNGRASS,164. TNGRASS—Grass land nonpoint contributions to the mean—annual total nitrogen load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPGRASS,166. TPGRASS—Grass land nonpoint contributions to the mean—annual total phosphorus load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNMAN,168. TNMAN—Animal agriculture contributions to the mean—annual total nitrogen load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPMAN,170. TPMAN—Animal agriculture contributions to the mean—annual total phosphorus load at the reach outlet (percentage of the mean—annual load) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNDFRAC,172. TNDFRAC—Fraction of the mean—annual total nitrogen load delivered to the downstream terminal reach (typically an estuary or inland waterbody) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TPDFRAC,174. TPDFRAC—Fraction of the mean—annual total phosphorus load delivered to the downstream terminal reach (typically an estuary or inland waterbody) (7).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Data_Sourc,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
FNODE1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNODE1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LENGTH_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ERF1_201,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ERF1_20__1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC_12,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SEG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RFLAG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
OWFLAG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TFLAG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SFLAG_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TYPE_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SEGL_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LEV_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PNAME_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
OWNAME_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
OWNMCD_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESCODE_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR1_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR2_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR3_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ERF1_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
E2RF1_1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
